feature,lasso_abs,ridge_abs,enet_abs,lasso_signed
MSZoning_C (all),0.3034596275419366,0.121845981890963,0.30678475446131365,-0.3034596275419366
BsmtQual_x_TotalBsmtSF,0.09900706261999845,0.06118633837148907,0.0994788333504633,0.09900706261999845
Neighborhood_Crawfor,0.09538691689379132,0.07600025035586301,0.0966811180159523,0.09538691689379132
GrLivArea,0.087768710130379,0.04017004336975443,0.08708417454600885,0.087768710130379
Neighborhood_StoneBr,0.0818128022145993,0.061770749144932274,0.08347100203668235,0.0818128022145993
2ndFlrSF,0.08073545155669594,0.05324577388504909,0.08117279826646952,0.08073545155669594
Exterior1st_BrkFace,0.06240100372109751,0.050812126801762864,0.0623549071571301,0.06240100372109751
1stFlrSF,0.06235331291499561,0.03419476711241881,0.06266206107338518,0.06235331291499561
SaleCondition_Abnorml,0.05502783528327064,0.04039113231329232,0.0552107002299751,-0.05502783528327064
Qual_x_Cond,0.049972793944787444,0.03630764335261624,0.049397778118827056,0.049972793944787444
Neighborhood_BrkSide,0.0454454705142842,0.03858311759196154,0.04603654613807471,0.0454454705142842
CentralAir,0.044106205194312756,0.04813514258981473,0.044368505784445275,0.044106205194312756
Age,0.042166065280039265,0.03379820307145137,0.041177172200277064,-0.042166065280039265
OverallQual,0.0421229508985519,0.029866159840292783,0.04254068206680824,0.0421229508985519
Neighborhood_NridgHt,0.04020223366540862,0.03511352098222247,0.041150126522451036,0.04020223366540862
Condition1_Norm,0.039048413936374086,0.040623658790638284,0.03880785931229925,0.039048413936374086
BsmtUnfSF,0.03796926761322577,0.034573965617141086,0.038013343099101336,-0.03796926761322577
MSZoning_RM,0.0362905355737716,0.008344387886277654,0.036152857680122504,-0.0362905355737716
Functional,0.0347972912366628,0.0332888840747638,0.03486289774696343,0.0347972912366628
LotArea,0.031012457100729123,0.033770403324517986,0.031063599849260236,0.031012457100729123
HeatingQC,0.02535051999577097,0.02299964821315109,0.02531916287526455,0.02535051999577097
MSZoning_FV,0.02424222373804254,0.045136825702992475,0.02481142951778207,0.02424222373804254
LotConfig_CulDSac,0.02406127153413382,0.028095509121578873,0.02444816774056632,0.02406127153413382
BsmtQual,0.023956243369598847,0.013258769977735979,0.024480180576528367,-0.023956243369598847
GarageCars,0.023801669200698417,0.024147350073222218,0.02402869313024514,0.023801669200698417
MSSubClass_90,0.02377899523984418,0.013692504566381861,0.015713646868753657,-0.02377899523984418
Condition1_Artery,0.02346483706941299,0.025186794805922345,0.02433679021489622,-0.02346483706941299
Neighborhood_Edwards,0.022658114723492856,0.039063027016951864,0.023292333857194477,-0.022658114723492856
SaleType_WD,0.02174370207184018,0.0275509300759733,0.023766274233138304,-0.02174370207184018
BsmtFinType1,0.020941564921758738,0.02114153339558755,0.0210790022527098,0.020941564921758738
YearBuilt,0.02030851902277725,0.03351428796215675,0.021404064790687082,0.02030851902277725
BldgType_1Fam,0.01969634764849966,0.016548057492181332,0.020157906277424507,0.01969634764849966
KitchenQual,0.01910573797688929,0.01429023334228105,0.018889838845445244,0.01910573797688929
Neighborhood_NoRidge,0.019070534076624887,0.021416115336131244,0.02025933366054498,0.019070534076624887
GarageQual,0.01811154699283544,0.020064074173273855,0.0185388523891312,0.01811154699283544
MSSubClass_30,0.018037984037255678,0.01728362928355799,0.01898350076529504,-0.018037984037255678
Foundation_BrkTil,0.017987377273951787,0.020071720097236997,0.018412744969473448,-0.017987377273951787
OverallQual_by_Age,0.017173797677202663,0.01047314911044911,0.01673456652636782,0.017173797677202663
Foundation_PConc,0.016918447925151573,0.018487227439561327,0.016851593150599555,0.016918447925151573
TotalSqFoot,0.0161420880070463,0.029077248539700493,0.015964532038717855,0.0161420880070463
Neighborhood_NWAmes,0.01608338849167331,0.030918172570122804,0.01639178707748558,-0.01608338849167331
KitchenAbvGr,0.01601215981133837,0.02875466787735891,0.018594102224592707,-0.01601215981133837
Exterior1st_Wd Sdng,0.015799865798887744,0.031904173614148525,0.017753723893489164,-0.015799865798887744
Exterior1st_MetalSd,0.015311517560027427,0.012631720958296042,0.015284762547714667,0.015311517560027427
Fireplaces,0.014507964167155406,0.013329534670524334,0.014201626521927614,0.014507964167155406
SaleCondition_Family,0.014396795560853463,0.018332430706575004,0.016104523588853222,-0.014396795560853463
MasVnrType_Stone,0.014304704944870062,0.018976662159612537,0.01475705702446762,0.014304704944870062
OverallCond,0.013345241863447984,0.0209460085818233,0.013549202413151051,0.013345241863447984
GarageArea,0.013064283427648243,0.01177529436707675,0.012932047254545284,0.013064283427648243
FireplaceQu,0.012240982683974546,0.011407122849865621,0.012395239713914477,0.012240982683974546
SaleCondition_Normal,0.012079034754224562,0.0298727814244321,0.01206788644548313,0.012079034754224562
Neighborhood_Mitchel,0.01195406494441002,0.030761508086083272,0.012729104386798718,-0.01195406494441002
TotalBath,0.011494996211876534,0.011726301256186067,0.011486912599714402,0.011494996211876534
MoSold_5,0.01127034460455763,0.01543663423381178,0.011558879800472259,0.01127034460455763
TotalPorchSF,0.010689906517293273,0.0011091029429150523,0.009903564750190441,0.010689906517293273
Alley_Pave,0.010686944921218492,0.014934467240367566,0.011670474415532041,0.010686944921218492
GarageType_Detchd,0.010615874087660055,0.019493346410901696,0.01108190994357059,0.010615874087660055
HalfBath,0.010509216598380024,0.01853883378953257,0.010683065398700457,0.010509216598380024
RemodAge,0.0104125303078401,0.012135733671589613,0.010891899865039516,-0.0104125303078401
Neighborhood_Somerst,0.010274328917032808,0.018243782623807846,0.010668837212726875,0.010274328917032808
GarageCond,0.01010960154020928,0.013595364309221591,0.010407566332550784,0.01010960154020928
BsmtExposure,0.010071844587564667,0.010787025278603785,0.010032554882561783,0.010071844587564667
YearRemodAdd,0.009328695082990066,0.01170367921667835,0.009065367014922285,0.009328695082990066
PavedDrive,0.00851415872915943,0.012334792396421684,0.008595764615123904,0.00851415872915943
Condition1_RRAe,0.008241015963666642,0.03876479151862332,0.012305928558661807,-0.008241015963666642
YrSold_2009,0.007746230146691345,0.007981173508221112,0.00786965349467623,-0.007746230146691345
BedroomAbvGr,0.007423180523300033,0.00956532397981976,0.0074765512905268575,-0.007423180523300033
PoolArea,0.00707594323354569,0.007158226328930192,0.007516385209600746,0.00707594323354569
ExterCond,0.006706983845245809,0.012180048381030827,0.006937978952764367,-0.006706983845245809
SaleType_New,0.006234879266609743,0.02487297941202166,0.005198147415997986,0.006234879266609743
